name,star,comment,class,address,latitude,longitude,bus_count,department_store_count,drink_count,hospital_count,movie_theater_count,MRT_count,night_market_count,park_count,school_count,sports_facilities_count,train_count
果滋味綜合飲料店,4.9,17,冰品飲料店,新北市三峽區大德路39號1樓,24.9429943,121.3770984,80,5,41,0,0,0,0,9,6,2,0
可不可熟成紅茶-三峽北大店,3.9,191,冰品飲料店,新北市三峽區學成路229號,24.9425087,121.374965,81,6,48,0,0,0,0,9,5,3,0
茶聚CHAGE三峽和平店｜香片領導品牌＿新北手搖飲料店外帶外送加盟推薦│在地美食飲料茶飲創業加盟,4.7,354,冰品飲料店,新北市三峽區和平街107號,24.9382843,121.3703329,85,5,67,1,0,0,0,11,6,6,0
50嵐 三峽北大店,4.3,101,冰品飲料店,新北市三峽區大學路129號1樓,24.9436023,121.3745389,79,5,42,0,0,0,0,9,5,3,0
五桐號WooTEA 三峽北大店,3.7,62,冰品飲料店,新北市三峽區國學街39號,24.942509,121.3726773,75,5,54,0,0,0,0,8,6,5,0
CoCo都可 三峽北大店,4.1,192,冰品飲料店,新北市三峽區大學路143號,24.9437545,121.3741646,80,5,42,0,0,0,0,9,5,3,0
紅茶洋行-三峽復興店,4.5,28,冰品飲料店,新北市三峽區復興路36-8號,24.9367654,121.373994,96,6,74,2,0,0,0,14,7,2,0
珍煮丹 三峽北大店,3.9,221,冰品飲料店,新北市三峽區大學路145號,24.9439864,121.3741868,77,5,42,0,0,0,0,9,5,3,0
CoCo都可 三峽和平店,4.0,232,冰品飲料店,新北市三峽區和平街40號,24.9373577,121.37032,83,5,66,1,0,0,0,11,6,6,0
老賴茶棧三峽老街店,4.3,95,冰品飲料店,新北市三峽區民權街5號,24.9345784,121.3704512,96,7,70,2,0,0,0,12,7,4,0
無飲國學店,4.2,41,冰品飲料店,新北市三峽區國學街28號,24.9421522,121.3731927,75,5,58,0,0,0,0,8,6,5,0
清心福全三峽大學店（來電外送26731238免外送費）,4.8,144,冰品飲料店,新北市三峽區國際一街36號,24.9426896,121.3734502,75,6,51,0,0,0,0,9,6,5,0
來壺果飲,4.6,87,冰品飲料店,新北市三峽區大德路153號,24.9451932,121.37561,69,5,32,0,0,0,0,9,6,2,0
清心福全三峽文化店-珍珠奶茶手搖飲料專賣店,3.6,58,冰品飲料店,新北市三峽區文化路16號,24.9358682,121.3733162,98,8,73,2,0,0,0,14,7,3,0
泡泡龍,3.9,102,冰品飲料店,新北市三峽區民生街171號,24.934743,121.3723595,99,7,70,2,0,0,0,13,8,4,0
胖茶 茶飲專賣店 /三峽飲料推薦/三峽特色飲料/三峽必喝/鮮萃黑茶/黑奶茶/仙草凍拿鐵,4.4,43,冰品飲料店,新北市三峽區光明路94號,24.928534,121.3756757,79,5,45,2,0,0,0,9,4,0,0
鮮茶道(三峽文化店),3.6,141,冰品飲料店,新北市三峽區文化路41號,24.9360559,121.3724651,99,7,72,2,0,0,0,13,7,4,0
拾?茶屋 三峽中華店,4.9,239,冰品飲料店,新北市三峽區中華路37號,24.9311286,121.3728445,98,6,59,2,0,0,0,13,7,2,0
清水冬瓜王 三峽店,4.4,567,冰品飲料店,新北市三峽區長福街15號,24.9338713,121.3705682,101,6,64,2,0,0,0,13,7,4,0
有料搖搖茶yoyocha-新北三峽店,4.4,27,珍珠奶茶,新北市三峽區大同路45號1樓,24.9277724,121.3760445,71,5,42,2,0,0,0,9,4,0,0
奶霸Milk Bar-鍋煮奶茶創始店 三峽飲料 三峽飲料推薦 三峽手搖飲 三峽咖啡 三峽下午茶,5.0,24,冰品飲料店,新北市三峽區光明路96號,24.9282042,121.3757325,78,5,44,2,0,0,0,9,4,0,0
咕茶,4.9,121,冰品飲料店,新北市三峽區光明路100之1號,24.9281741,121.3760056,78,5,44,2,0,0,0,9,4,0,0
清心福全三峽大義店,3.5,107,珍珠奶茶,新北市三峽區大義路11號,24.9437014,121.3788895,70,5,28,0,0,0,0,9,5,2,0
太元茶室 Est.2021,4.7,119,冰品飲料店,新北市三峽區國學街8號,24.9415506,121.3736498,84,6,64,0,0,0,0,9,6,6,0
三峽冰鎮,4.0,218,冰品飲料店,新北市三峽區民生街108號,24.93532,121.373318,100,7,73,2,0,0,0,13,7,2,0
統一茗茶-顏選製茶所(YANXUAN)|碧螺春綠茶|蜜香紅茶|白茶冠軍|東方美人|烏龍茶|金萱|四季春|老茶|茶糖|牛軋糖|雪花餅|茶酥|茶梅|苦茶油|三峽伴手禮|茶葉禮盒|批發零售|,4.9,43,茶葉店,新北市三峽區竹崙路23號,24.922695,121.4292553,27,1,7,0,0,0,0,1,0,0,0
Mai cha嘜ㄔㄚ、飲品專賣店,5.0,159,冰品飲料店,新北市三峽區介壽路一段6號黃昏市場鍾予原味旁,24.9334478,121.3745244,101,6,65,2,0,0,0,14,8,2,0
好了啦紅茶冰-三峽大同,3.0,1,冰品飲料店,新北市三峽區大同路69號,24.9272751,121.375194,74,5,41,2,0,0,0,9,4,0,0
50嵐 三峽光明店,4.8,116,冰品飲料店,新北市三峽區光明路100-3號,24.9281327,121.3760502,78,5,44,2,0,0,0,9,4,0,0
COMEBUY_三峽光明店,4.2,52,冰品飲料店,新北市三峽區光明路17號,24.9313579,121.37325,96,6,59,2,0,0,0,13,7,2,0
自己來 紅茶鮮乳 三峽愛國店,3.6,19,冰品飲料店,新北市三峽區愛國路32-10號,24.932998,121.3748773,99,6,58,2,0,0,0,13,8,2,0
樹林青草茶,4.7,12,冰品飲料店,新北市三峽區民族街,24.9316832,121.3686455,95,5,59,2,0,0,0,10,6,3,0
森木坊古早冰,4.7,169,冰品飲料店,新北市三峽區秀川街88號,24.9334467,121.370201,98,6,61,2,0,0,0,13,7,4,0
得正#三峽文化計劃,5.0,7,冰品飲料店,新北市三峽區文化路60號,24.9362408,121.3724963,98,7,71,2,0,0,0,13,7,4,0
市民小站三峽愛國店,4.3,41,冰品飲料店,新北市三峽區愛國路32-8號,24.9330274,121.3745909,99,6,58,2,0,0,0,13,8,2,0
可不可熟成紅茶-三峽文化店,4.0,39,冰品飲料店,新北市三峽區文化路5號,24.9355342,121.3732848,100,7,73,2,0,0,0,14,8,2,0
涼水庫愛國店,5.0,1,冰品飲料店,新北市三峽區愛國路2號,24.933996,121.3741324,102,7,69,2,0,0,0,14,8,2,0
好了啦-三峽愛國店,5.0,1,冰品飲料店,新北市三峽區愛國路24號對面號,24.9333949,121.3742639,102,6,64,2,0,0,0,14,8,2,0
50嵐 三峽文化店,3.9,491,冰品飲料店,新北市三峽區文化路26號,24.9360019,121.3732319,97,8,73,2,0,0,0,14,7,4,0
愛茶咖 i - Cha Ca Coffee & Tea,4.9,7,冰品飲料店,新北市三峽區民權街117號,24.932275,121.369141,97,5,59,2,0,0,0,12,7,4,0
龜記茗品-三峽文化店,4.5,146,冰品飲料店,新北市三峽區文化路7號,24.9354679,121.373238,100,7,73,2,0,0,0,13,8,2,0
好了啦-紅茶冰,4.0,5,冰品飲料店,新北市三峽區正義街61號號,24.918473,121.3692115,49,0,3,0,0,0,0,1,2,0,0
好了啦！三峽和平店,3.0,2,冰品飲料店,新北市三峽區和平街60號,24.9378497,121.3704018,85,5,68,1,0,0,0,11,6,6,0
三峽青草茶,0.0,0,冰品飲料店,新北市三峽區民生街178號門口附近,24.935002,121.37129,98,7,70,2,0,0,0,12,8,4,0
上宇林三峽和平店,4.5,82,冰品飲料店,新北市三峽區和平街24之3號,24.9362858,121.3703514,88,5,65,1,0,0,0,12,7,4,0
陳Q古早黑砂糖剉冰 三峽光明店,3.9,61,冰品飲料店,"No. 29-1號, 光明路三峽區新北市237",24.9310724,121.3734778,94,6,58,2,0,0,0,13,7,2,0
現帶茶,4.7,10,冰品飲料店,新北市三峽區和平街73號,24.9371852,121.3701056,82,5,66,1,0,0,0,10,6,5,0
大苑子,3.5,221,冰品飲料店,新北市三峽區和平街101號,24.9381192,121.3702556,85,5,68,1,0,0,0,11,6,6,0
一枝冰商行,4.7,7,冰品飲料店,新北市三峽區嘉添路181-24號號1樓,24.9108246,121.3710066,45,0,2,0,0,0,0,0,3,0,0
吉品仙草小棧,4.5,127,冰品飲料店,新北市三峽區中山路129號,24.9360427,121.3652347,61,2,49,1,0,0,0,7,5,4,0
好了啦三峽國光店,0.0,0,冰品飲料店,新北市三峽區國光街34號,24.9376488,121.3750729,93,6,67,2,0,0,0,13,7,2,0
三峽 古早味黑砂糖剉冰,3.1,7,冰品飲料店,新北市三峽區中山路4號1樓,24.9344364,121.3698974,96,7,66,2,0,0,0,12,6,4,0
期香茶棧三峽店,4.0,25,無酒精飲料店,新北市三峽區民生街193號,24.9347746,121.3718143,98,7,70,3,0,0,0,13,8,4,0
7吋Qi Inch 甜品屋/冰棒/芝麻糊 三峽本店,4.7,14,冰品飲料店,新北市三峽區中華路74-1號,24.9293109,121.3714508,90,5,57,2,0,0,0,11,5,2,0
迷客夏Milksha 新北三峽北大店,3.6,321,冰品飲料店,新北市三峽區國際二街33號1樓,24.9432073,121.3726224,73,5,49,0,0,0,0,8,6,5,0
雙予綿綿冰（原峽客冰品),4.3,15,冰品飲料店,新北市三峽區中山路141號,24.9361434,121.365088,60,1,48,1,0,0,0,6,5,4,0
芋見豆花,4.7,132,冰品飲料店,新北市三峽區文化路246號,24.9359211,121.367499,75,3,60,1,0,0,0,9,6,4,0
呷冰站(台灣鮮果手工冰),4.4,216,冰品飲料店,新北市三峽區國際一街82號1 樓,24.9415729,121.3712196,83,4,61,1,0,0,0,9,6,6,0
Bella甜品專賣北大店,4.6,47,冰品飲料店,新北市三峽區國際一街27號,24.9424157,121.3737864,78,6,53,0,0,0,0,9,6,5,0
安安冰?室,4.9,40,冰品飲料店,新北市三峽區文化路193號,24.935601,121.3667312,70,2,56,1,0,0,0,9,5,4,0
三峽老街冰店,4.4,91,冰品飲料店,新北市三峽區民權街10號,24.9346258,121.3702061,96,7,70,2,0,0,0,12,7,4,0
ㄚ冰師古早香紅茶冰,3.7,25,飲品分銷商,新北市三峽區大勇路80號,24.9360841,121.3670906,72,3,60,1,0,0,0,9,6,4,0
唐香蘭涼麵｜真果粉圓｜蔬食手捲,4.8,58,冰品飲料店,新北市三峽區大同路56號,24.9286129,121.376951,69,5,44,2,0,0,0,8,3,0,0
茗食茶,4.4,23,冰品飲料店,新北市三峽區大觀路313號,24.9475348,121.3730902,51,4,24,0,0,0,0,8,4,2,0
伊希詩ISIS冷飲,4.4,13,冰品飲料店,新北市三峽區大學路109-1號,24.9420845,121.3756495,84,6,50,0,0,0,0,9,5,3,0
古道阿彬杏仁茶,3.5,113,飲料,新北市三峽區民權街40號,24.9336735,121.369658,96,5,61,2,0,0,0,12,7,4,0
魔法香腸 Magic Sausage,5.0,916,冰品飲料店,新北市三峽區民權街97號,24.9326914,121.3692766,98,5,59,2,0,0,0,12,7,4,0
金聯春老房子,4.0,1,冰品飲料店,新北市三峽區民權街5 3號,24.9334179,121.369771,95,5,61,2,0,0,0,12,7,4,0
YCHY拾味(三峽義大利麵、三峽咖啡廳、三峽午餐、三峽晚餐、三峽下午茶、三峽人氣餐廳、三峽平價美食）,4.5,736,冰品飲料店,新北市三峽區國際一街27-1號1樓,24.9424002,121.3737362,77,6,55,0,0,0,0,9,6,5,0
禾乃川國產豆製所,4.4,1,冰品飲料店,新北市民權街84巷12-1號*最後點餐時間17:30,24.9337739,121.3689688,90,5,61,2,0,0,0,12,6,4,0
啡茶小棧,0.0,0,冰品飲料店,新北市三峽區白雞路153-1號白雞商圈,24.9049821,121.4008095,8,0,2,0,0,0,0,0,0,0,0
蟾蜍山谷冷飲店,5.0,52,冰品飲料店,新北市三峽區,24.8564912,121.4357632,16,0,2,0,0,0,0,0,1,0,0
嚐冰閣,0.0,0,冰品飲料店,新北市三峽區介壽路三段146號,24.9432035,121.4012029,24,0,1,0,0,0,0,3,0,0,0
我家苦茶 草本養生茶舖,4.9,17,冰品飲料店,新北市三峽區白雞路1號153 之 號,24.9048573,121.4005201,9,0,2,0,0,0,0,0,0,0,0
穩贏生技股份有限公司(北區營業處),0.0,0,飲品分銷商,新北市三峽區添福路151之7號,24.8989055,121.3753074,19,0,1,0,0,0,0,0,0,0,0
日月閒境,4.7,12,冰品飲料店,桃園市大溪區信義路956號,24.8949062,121.3195782,0,0,1,0,0,0,0,0,0,0,0
葵可利—飲料店(早餐廣東粥),4.4,13,冰品飲料店,桃園市大溪區民權東路78號,24.8822025,121.2914058,0,0,1,0,0,0,0,0,0,0,0
隱茶於市,4.5,19,冰品飲料店,新北市鶯歌區國中街120號,24.9401638,121.3395606,24,0,6,0,0,0,0,5,3,1,0
茶聚CHAGE三峽和平店｜香片領導品牌＿新北手搖飲料店外帶外送加盟推薦│在地美食飲料茶飲創業加盟,4.7,354,珍珠奶茶,新北市三峽區和平街107號,24.9382843,121.3703329,85,5,67,1,0,0,0,11,6,6,0
TEA'S 原味-八德介壽店,3.4,108,冰品飲料店,桃園市八德區介壽路一段770號,24.9633852,121.3000639,0,0,2,0,0,0,0,0,0,0,0
三峽冰鎮-北大店,4.0,264,冰品飲料店,新北市三峽區大德路485號,24.947807,121.37419,51,4,25,0,0,0,0,8,5,2,0
CoCo都可 三峽大雅店,4.3,219,冰品飲料店,新北市樹林區大雅路280號,24.9472177,121.3798771,63,5,25,0,0,0,0,6,5,0,0
Tea's 原味（鶯歌南雅店）,3.2,56,冰品飲料店,新北市鶯歌區南雅路35號,24.954198,121.3490025,75,1,42,0,0,0,1,9,3,3,1
易家紅茶冰,3.6,8,冰品飲料店,新北市三峽區中園街26號,24.9268903,121.3681208,69,5,38,0,0,0,0,10,4,1,0
火金姑茶,4.4,43,茶葉店,新北市三峽區安坑里11鄰 51-6號,24.9315231,121.463942,10,0,1,0,0,0,0,0,0,0,0
涎露茗茶,0.0,0,茶葉店,新北市三峽區,24.9177366,121.4628214,2,0,1,0,0,0,0,0,0,0,0
甘霖冰室,0.0,0,冰品飲料店,新北市三峽區成福路261號,24.9235991,121.427911,26,1,7,0,0,0,0,1,0,0,0
三峽日盛製茶 七代傳承,4.5,39,茶葉店,新北市三峽區成福路308-1號,24.9234616,121.4289819,27,1,7,0,0,0,0,1,0,0,0
老家Black Tea (Old Place),4.7,46,無酒精飲料店,新北市三峽區中山路37號,24.9344206,121.3682438,88,3,56,1,0,0,0,11,6,4,0
好了啦-三峽祖師廟店,3.0,4,果汁,新北市三峽區長福街2號正對面,24.933576,121.370231,98,6,62,2,0,0,0,13,7,4,0
雲萃茶作,3.9,30,茶葉店,新北市三峽區民權街69號,24.9329941,121.369691,98,5,60,2,0,0,0,13,7,4,0
有福製茶廠/新北製茶廠/新北茶葉/新北茶葉批發/新北茶農,4.6,43,茶葉店,新北市三峽區竹崙路87-1號,24.9188232,121.4324518,25,1,7,0,0,0,0,1,0,0,0
山泉水 清茶館,3.0,1,無酒精飲料店,新北市三峽區清水街334號,24.9338546,121.3712325,98,6,65,2,0,0,0,13,7,4,0
幸福搖搖-西門1號店,4.4,323,冰品飲料店,台北市萬華區成都路54號1樓,25.042642,121.5060244,75,31,144,1,6,3,1,15,8,4,0
蟾蜍山谷烤肉區,4.0,561,冰品飲料店,新北市三峽區130之1號,24.8566359,121.4355647,16,0,2,0,0,0,0,0,1,0,0
愛沐芋芋頭芋圓仙草凍專賣店-三峽特色冰店|必吃芋圓|人氣飲料|熱門飲料|推薦手搖|仙草凍推薦,3.9,29,無酒精飲料店,新北市三峽區和平街103號,24.938113,121.370173,84,5,68,1,0,0,0,11,6,6,0
茶裡不然-大坪林店,4.6,64,冰品飲料店,新北市新店區北新路三段159號,24.9837749,121.5410231,69,9,74,2,2,2,1,11,6,7,0
里木Limonetea 手作茶飲,5.0,138,冰品飲料店,桃園市大溪區埔頂路一段300之2號,24.9014712,121.2741911,0,0,1,0,0,0,0,0,0,0,0
五寮尖山休息站,4.5,132,冰品飲料店,新北市三峽區圳頭82號,24.87914,121.370536,10,0,1,0,0,0,0,0,0,0,0
日日杯茶飲,4.9,168,冰品飲料店,新北市中和區景平路574號,24.9955362,121.5016896,101,1,83,3,0,2,0,11,3,5,0
李記紅茶冰 文山木新店,4.2,30,冰品飲料店,台北市文山區木新路三段181號,24.981511,121.5603632,57,0,28,0,0,0,0,16,12,2,0
兔子茶飲,4.3,13,冰品飲料店,新北市中和區景平路73號,24.9916396,121.5182343,84,1,94,0,0,3,1,14,4,3,0
蒔三SHI SAN TEA - 新北中和店,4.7,45,冰品飲料店,新北市中和區圓通路162之5號,24.9951589,121.4974281,101,1,77,2,0,2,0,12,3,11,0
吳家紅茶冰台北木新店,4.3,48,冰品飲料店,台北市文山區木新路三段306號,24.9809322,121.5573103,55,0,25,0,0,0,0,12,8,2,0
谷雨茶水舖,4.8,86,冰品飲料店,新北市中和區建一路103號,25.0015424,121.488223,89,4,78,1,0,2,0,11,2,13,0
馬祖奶茶（文山木新店）,4.5,48,冰品飲料店,台北市文山區木新路三段33號,24.9824552,121.5645275,48,0,30,0,0,0,0,16,7,6,0
茶聚CHAGE文山木新店,4.3,58,冰品飲料店,台北市文山區木新路二段262號,24.9831829,121.5660561,50,0,33,0,0,0,0,14,5,5,0
五桐號WooTea 新北南勢角店,4.0,319,冰品飲料店,新北市中和區興南路一段94號,24.9891449,121.509785,91,1,110,0,0,3,1,12,7,0,0
COMEBUY_中和大勇店,3.6,184,冰品飲料店,新北市中和區大勇街27巷2號,24.9936789,121.5172163,92,1,112,0,0,3,1,18,4,4,0
