name,star,comment,class,address,latitude,longitude,school_counts,drink_counts,train_counts,bus_counts,park_counts,night_market_counts,sports_facilities_counts,mrt_counts,movie_theater_counts,hospital_counts,district,neighborhood,縣市,鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,行政區_x,平勳人流,行政區_y,刊登平均,成交平均
果滋味綜合飲料店,4.9,17,冰品飲料店,新北市三峽區大德路39號1樓,24.9429943,121.3770984,6,41,0,80,9,0,2,0,0,0,三峽區,龍學里,新北市,三峽區,龍學里,5241.0,5693877.0,1086.0,711.0,302.0,1440.0,1297.72,119.45,三峽區,2038.200813195466,三峽區,1071.0,1059.0
可不可熟成紅茶-三峽北大店,3.9,191,冰品飲料店,新北市三峽區學成路229號,24.9425087,121.374965,5,48,0,80,9,0,3,0,0,0,三峽區,龍恩里,新北市,三峽區,龍恩里,2339.0,2473636.0,1058.0,635.0,267.0,1351.0,1325.52,125.34,三峽區,2038.200813195466,三峽區,1071.0,1059.0
茶聚CHAGE三峽和平店｜香片領導品牌＿新北手搖飲料店外帶外送加盟推薦│在地美食飲料茶飲創業加盟,4.7,354,冰品飲料店,新北市三峽區和平街107號,24.9382843,121.3703329,6,67,0,85,11,0,6,0,0,1,三峽區,永舘里,新北市,三峽區,永舘里,2113.0,1383722.0,655.0,432.0,206.0,812.0,864.02,131.94,三峽區,2038.200813195466,三峽區,1071.0,1059.0
50嵐 三峽北大店,4.3,101,冰品飲料店,新北市三峽區大學路129號1樓,24.9436023,121.3745389,5,42,0,79,9,0,3,0,0,0,三峽區,龍恩里,新北市,三峽區,龍恩里,2339.0,2473636.0,1058.0,635.0,267.0,1351.0,1325.52,125.34,三峽區,2038.200813195466,三峽區,1071.0,1059.0
五桐號WooTEA 三峽北大店,3.7,62,冰品飲料店,新北市三峽區國學街39號,24.942509,121.3726773,6,54,0,75,8,0,5,0,0,0,三峽區,龍恩里,新北市,三峽區,龍恩里,2339.0,2473636.0,1058.0,635.0,267.0,1351.0,1325.52,125.34,三峽區,2038.200813195466,三峽區,1071.0,1059.0
CoCo都可 三峽北大店,4.1,192,冰品飲料店,新北市三峽區大學路143號,24.9437545,121.3741646,5,42,0,79,9,0,3,0,0,0,三峽區,龍恩里,新北市,三峽區,龍恩里,2339.0,2473636.0,1058.0,635.0,267.0,1351.0,1325.52,125.34,三峽區,2038.200813195466,三峽區,1071.0,1059.0
紅茶洋行-三峽復興店,4.5,28,冰品飲料店,新北市三峽區復興路36-8號,24.9367654,121.373994,7,74,0,96,14,0,2,0,0,2,三峽區,龍埔里,新北市,三峽區,龍埔里,2836.0,1869282.0,659.0,439.0,208.0,866.0,760.15,115.33,三峽區,2038.200813195466,三峽區,1071.0,1059.0
珍煮丹 三峽北大店,3.9,221,冰品飲料店,新北市三峽區大學路145號,24.9439864,121.3741868,5,42,0,77,9,0,3,0,0,0,三峽區,龍學里,新北市,三峽區,龍學里,5241.0,5693877.0,1086.0,711.0,302.0,1440.0,1297.72,119.45,三峽區,2038.200813195466,三峽區,1071.0,1059.0
CoCo都可 三峽和平店,4.0,232,冰品飲料店,新北市三峽區和平街40號,24.9373577,121.37032,6,66,0,83,11,0,6,0,0,1,三峽區,永舘里,新北市,三峽區,永舘里,2113.0,1383722.0,655.0,432.0,206.0,812.0,864.02,131.94,三峽區,2038.200813195466,三峽區,1071.0,1059.0
老賴茶棧三峽老街店,4.3,95,冰品飲料店,新北市三峽區民權街5號,24.9345784,121.3704512,7,70,0,96,12,0,4,0,0,2,三峽區,永舘里,新北市,三峽區,永舘里,2113.0,1383722.0,655.0,432.0,206.0,812.0,864.02,131.94,三峽區,2038.200813195466,三峽區,1071.0,1059.0
